,width,height,bufsize,dataflow,bandwidth,M,N,K,cycles
0,8,8,16,0,8,4,4,4,17
1,8,8,16,0,8,4,4,8,21
2,8,8,16,0,8,4,4,16,29
3,8,8,16,0,8,4,4,32,45
4,8,8,16,0,8,4,8,4,17
5,8,8,16,0,8,4,8,8,21
6,8,8,16,0,8,4,8,16,29
7,8,8,16,0,8,4,8,32,45
8,8,8,16,0,8,4,16,4,35
9,8,8,16,0,8,4,16,8,43
10,8,8,16,0,8,4,16,16,59
11,8,8,16,0,8,4,16,32,91
12,8,8,16,0,8,4,32,4,71
13,8,8,16,0,8,4,32,8,87
14,8,8,16,0,8,4,32,16,119
15,8,8,16,0,8,4,32,32,183
16,8,8,16,0,8,8,4,4,17
17,8,8,16,0,8,8,4,8,21
18,8,8,16,0,8,8,4,16,29
19,8,8,16,0,8,8,4,32,45
20,8,8,16,0,8,8,8,4,17
21,8,8,16,0,8,8,8,8,21
22,8,8,16,0,8,8,8,16,29
23,8,8,16,0,8,8,8,32,45
24,8,8,16,0,8,8,16,4,35
25,8,8,16,0,8,8,16,8,43
26,8,8,16,0,8,8,16,16,59
27,8,8,16,0,8,8,16,32,91
28,8,8,16,0,8,8,32,4,71
29,8,8,16,0,8,8,32,8,87
30,8,8,16,0,8,8,32,16,119
31,8,8,16,0,8,8,32,32,183
32,8,8,16,0,8,16,4,4,35
33,8,8,16,0,8,16,4,8,43
34,8,8,16,0,8,16,4,16,59
35,8,8,16,0,8,16,4,32,91
36,8,8,16,0,8,16,8,4,35
37,8,8,16,0,8,16,8,8,43
38,8,8,16,0,8,16,8,16,59
39,8,8,16,0,8,16,8,32,91
40,8,8,16,0,8,16,16,4,71
41,8,8,16,0,8,16,16,8,87
42,8,8,16,0,8,16,16,16,119
43,8,8,16,0,8,16,16,32,183
44,8,8,16,0,8,16,32,4,143
45,8,8,16,0,8,16,32,8,175
46,8,8,16,0,8,16,32,16,239
47,8,8,16,0,8,16,32,32,367
48,8,8,16,0,8,32,4,4,71
49,8,8,16,0,8,32,4,8,87
50,8,8,16,0,8,32,4,16,119
51,8,8,16,0,8,32,4,32,183
52,8,8,16,0,8,32,8,4,71
53,8,8,16,0,8,32,8,8,87
54,8,8,16,0,8,32,8,16,119
55,8,8,16,0,8,32,8,32,183
56,8,8,16,0,8,32,16,4,143
57,8,8,16,0,8,32,16,8,175
58,8,8,16,0,8,32,16,16,239
59,8,8,16,0,8,32,16,32,367
